"","dgp","method","auroc","rmse","rmse.off","kl.div","sen","spe","pre","recall","fdr","acc","f1","run.time","converged"
"1","band1_p100_n300_diag0_R50","large","0.99 (0.01)","0.08 (0.01)","0.46 (0.05)","2.36 (0.11)","0.98 (0.01)","1 (0)","0.81 (0.04)","0.98 (0.01)","0.19 (0.04)","1 (0)","0.89 (0.02)","11.13 (5.06)","1 (0)"
"2","band1_p100_n300_diag0_R50","huge.ebic","0.75 (0.06)","0.18 (0)","1 (0)","4.03 (0.83)","0.49 (0.11)","0.99 (0.02)","0.76 (0.32)","0.49 (0.11)","0.24 (0.32)","0.98 (0.02)","0.52 (0.12)","2.6 (1.66)","1 (0)"
"3","band1_p100_n300_diag0_R50","huge.ric","0.74 (0.02)","0.18 (0)","1 (0)","4.36 (0.11)","0.48 (0.04)","1 (0)","0.93 (0.04)","0.48 (0.04)","0.07 (0.04)","0.99 (0)","0.63 (0.04)","4.85 (2.87)","1 (0)"
"4","band1_p100_n300_diag0_R50","huge.stars","0.84 (0)","0.18 (0)","0.99 (0)","2.78 (0.1)","0.67 (0)","0.96 (0.01)","0.27 (0.06)","0.67 (0)","0.73 (0.06)","0.96 (0.01)","0.38 (0.06)","36.09 (12.43)","1 (0)"
"5","band1_p100_n300_diag0_R50","cv.loglik","0.84 (0.02)","0.18 (0.01)","0.99 (0.03)","2.74 (0.2)","0.68 (0.03)","0.93 (0.05)","0.18 (0.06)","0.68 (0.03)","0.82 (0.06)","0.92 (0.05)","0.28 (0.07)","1.83 (0.7)","1 (0)"
"6","band1_p100_n300_diag0_R50","huge.tiger","0.97 (0.01)","0.78 (0)","0.84 (0.01)","32.39 (0.29)","0.95 (0.02)","1 (0)","0.97 (0.04)","0.95 (0.02)","0.03 (0.04)","1 (0)","0.96 (0.02)","0.67 (0.3)","1 (0)"
"7","band1_p100_n300_diag0_R50","pcglasso","1 (0)","0.06 (0.01)","0.31 (0.05)","1.89 (0.13)","1 (0.01)","1 (0)","0.87 (0.03)","1 (0.01)","0.13 (0.03)","1 (0)","0.93 (0.02)","18.01 (6.3)","1 (0)"
"8","band1_p100_n500_diag0_R50","large","1 (0)","0.05 (0.01)","0.32 (0.03)","1.89 (0.1)","1 (0)","1 (0)","0.94 (0.02)","1 (0)","0.06 (0.02)","1 (0)","0.97 (0.01)","31.28 (16.66)","1 (0)"
"9","band1_p100_n500_diag0_R50","huge.ebic","0.84 (0)","0.18 (0)","0.99 (0)","2.38 (0.04)","0.67 (0)","0.95 (0.01)","0.21 (0.04)","0.67 (0)","0.79 (0.04)","0.94 (0.01)","0.31 (0.04)","1.65 (0.86)","1 (0)"
"10","band1_p100_n500_diag0_R50","huge.ric","0.82 (0.01)","0.18 (0)","0.99 (0)","3.62 (0.13)","0.64 (0.02)","1 (0)","0.94 (0.03)","0.64 (0.02)","0.06 (0.03)","0.99 (0)","0.76 (0.02)","3.04 (1.32)","1 (0)"
"11","band1_p100_n500_diag0_R50","huge.stars","0.84 (0)","0.18 (0)","0.99 (0)","2.46 (0.05)","0.67 (0)","0.97 (0)","0.33 (0.04)","0.67 (0)","0.67 (0.04)","0.97 (0)","0.44 (0.04)","22.66 (6.95)","1 (0)"
"12","band1_p100_n500_diag0_R50","cv.loglik","0.9 (0.08)","0.13 (0.06)","0.71 (0.34)","2.43 (0.08)","0.81 (0.16)","0.77 (0.2)","0.14 (0.1)","0.81 (0.16)","0.86 (0.1)","0.77 (0.2)","0.22 (0.14)","1.37 (0.5)","1 (0)"
"13","band1_p100_n500_diag0_R50","huge.tiger","1 (0)","0.77 (0)","0.82 (0.01)","31.69 (0.15)","1 (0)","1 (0)","0.94 (0.04)","1 (0)","0.06 (0.04)","1 (0)","0.97 (0.02)","0.59 (0.19)","1 (0)"
